temperature,humidity,light_intensity,air_pressure,rainfall,label
21.46,76.52,926.33,989.99,9.9,balsam apple
22.07,67.31,370.88,1014.79,21.16,balsam apple
25.01,70.67,366.01,1028.84,20.1,balsam apple
17.73,79.65,986.11,980.18,19.23,balsam apple
11.82,62.14,872.94,1002.67,19.21,balsam apple
22.8,56.21,500.27,1015.44,28.51,balsam apple
23.33,72.68,977.45,1025.82,20.15,balsam apple
17.89,57.23,787.79,998.11,29.53,balsam apple
20.39,91.41,829.6,1029.15,2.39,balsam apple
23.8,56.97,920.85,1016.34,20.61,balsam apple
25.97,78.32,440.04,1016.93,16.29,balsam apple
26.34,47.62,770.66,1008.33,22.39,balsam apple
16.92,86.81,299.81,1012.56,11.58,balsam apple
22.76,89.1,895.01,995.81,17.91,balsam apple
26.54,62.25,286.47,1018.02,9.35,balsam apple
17.11,74.94,721.96,1012.2,4.15,balsam apple
16.31,67.44,549.42,1013.37,27.51,balsam apple
16.61,87.08,428.98,1001.69,5.11,balsam apple
22.86,60.26,378.98,985.84,12.48,balsam apple
23.06,73.81,164.37,1010.08,10.63,balsam apple
16.67,62.47,693.12,1020.05,28.11,balsam apple
11.25,58.35,316.0,994.13,5.3,balsam apple
17.39,80.98,144.56,1010.81,11.06,balsam apple
16.45,94.14,173.62,1008.66,14.12,balsam apple
14.18,58.34,735.26,996.57,1.28,balsam apple
18.97,92.87,761.61,983.58,20.64,balsam apple
17.21,79.09,982.01,980.29,20.0,balsam apple
20.02,51.79,350.35,1007.7,22.56,balsam apple
24.82,47.58,197.98,1011.27,24.04,balsam apple
26.74,65.33,650.57,1026.36,4.72,balsam apple
13.17,79.71,501.03,1002.92,20.36,balsam apple
15.14,77.83,335.45,995.19,19.95,balsam apple
23.0,52.66,624.32,1022.91,26.2,balsam apple
26.77,61.44,233.99,1019.13,27.28,balsam apple
11.04,54.16,999.09,1016.2,25.5,balsam apple
14.34,91.77,986.0,995.95,24.54,balsam apple
15.91,72.84,271.17,1003.31,14.07,balsam apple
23.95,74.61,489.27,998.15,2.29,balsam apple
13.26,82.15,697.19,984.12,27.38,balsam apple
17.78,63.37,475.73,999.82,20.76,balsam apple
26.92,69.52,967.37,1010.74,18.04,balsam apple
13.85,63.88,980.65,1018.3,1.33,balsam apple
13.5,73.31,857.97,1028.25,21.54,balsam apple
16.49,94.11,817.18,994.45,8.66,balsam apple
19.71,65.91,737.59,1008.33,8.51,balsam apple
16.24,74.0,327.13,985.96,9.74,balsam apple
21.63,70.71,330.63,1011.65,18.74,balsam apple
12.47,59.04,569.5,1000.47,22.84,balsam apple
23.9,66.69,668.42,992.52,12.85,balsam apple
16.06,60.65,672.68,989.72,0.85,balsam apple
20.26,57.32,229.94,998.55,28.52,balsam apple
20.8,65.39,174.96,1002.76,23.63,balsam apple
16.88,47.6,387.46,1009.06,28.67,balsam apple
25.74,88.11,458.49,991.02,9.62,balsam apple
21.28,61.76,773.87,1012.58,17.37,balsam apple
25.93,59.31,534.16,981.67,22.23,balsam apple
13.44,69.58,655.08,1017.83,27.09,balsam apple
27.03,69.16,819.04,1024.58,20.08,balsam apple
16.8,88.98,114.44,990.51,7.16,balsam apple
16.4,83.8,725.29,995.93,4.46,balsam apple
13.68,57.48,325.05,1021.88,4.11,balsam apple
26.48,88.5,834.35,1017.71,9.01,balsam apple
19.18,93.39,781.83,987.1,20.25,balsam apple
26.02,77.4,577.76,999.76,17.65,balsam apple
11.91,81.81,218.04,1019.94,24.95,balsam apple
21.91,61.8,542.31,1019.74,3.73,balsam apple
25.07,94.51,731.88,997.81,13.43,balsam apple
11.43,93.94,527.73,994.71,14.64,balsam apple
14.34,89.49,527.45,980.53,11.96,balsam apple
14.83,52.92,228.46,1012.19,23.14,balsam apple
22.79,91.42,492.18,986.71,2.22,balsam apple
15.19,54.92,916.85,1006.95,19.49,balsam apple
19.39,95.17,604.76,1004.82,11.8,balsam apple
20.07,93.78,417.18,998.07,20.96,balsam apple
25.15,73.48,454.89,980.33,3.87,balsam apple
18.51,94.72,250.12,991.86,24.29,balsam apple
23.18,65.78,238.24,1015.83,2.85,balsam apple
27.94,89.88,881.93,1014.58,17.85,balsam apple
20.01,57.65,363.97,1023.85,21.27,balsam apple
23.6,62.03,885.18,1002.47,21.25,balsam apple
22.64,67.64,484.39,989.78,26.8,balsam apple
20.76,80.3,512.25,1010.14,18.22,balsam apple
26.99,94.44,432.39,1010.4,20.86,balsam apple
19.5,59.18,454.38,991.01,21.1,balsam apple
15.37,60.22,449.05,1007.36,19.9,balsam apple
21.63,72.68,302.88,1011.05,9.42,balsam apple
20.5,48.23,862.87,1005.89,16.24,balsam apple
25.07,56.85,503.44,989.41,19.8,balsam apple
14.79,92.93,753.33,1029.74,27.16,balsam apple
23.21,84.59,747.61,998.37,10.85,balsam apple
18.26,83.99,521.18,1019.76,7.0,balsam apple
27.56,92.29,449.79,981.05,0.82,balsam apple
11.99,52.04,314.65,980.28,26.99,balsam apple
26.02,74.09,399.1,995.04,6.5,balsam apple
22.57,59.14,501.67,1006.12,5.37,balsam apple
22.37,60.17,826.87,993.6,3.53,balsam apple
11.73,67.24,997.5,985.01,19.95,balsam apple
15.66,61.27,274.73,1019.92,3.99,balsam apple
17.33,66.05,405.14,1012.03,9.27,balsam apple
27.32,81.17,765.81,1025.47,7.97,balsam apple
24.89,51.57,969.88,1012.51,18.17,cauliflower
19.53,78.15,702.39,1014.7,6.84,cauliflower
14.6,79.25,895.17,1025.07,3.53,cauliflower
14.43,92.93,573.77,1015.94,5.88,cauliflower
24.09,54.31,544.38,1024.24,22.1,cauliflower
16.87,55.22,275.3,981.64,22.73,cauliflower
23.47,56.07,871.12,980.15,26.64,cauliflower
19.12,79.54,346.48,980.49,25.4,cauliflower
12.77,87.14,603.0,1026.92,9.79,cauliflower
19.94,90.09,543.69,1004.65,7.27,cauliflower
26.98,48.33,592.26,990.91,26.49,cauliflower
14.36,65.69,213.73,984.81,7.52,cauliflower
11.75,59.43,149.34,988.71,27.19,cauliflower
15.23,85.93,884.91,1018.48,29.82,cauliflower
19.6,92.58,323.21,1024.83,4.6,cauliflower
16.4,90.85,721.51,1006.23,9.71,cauliflower
22.31,78.63,951.85,1029.53,15.48,cauliflower
24.6,70.19,253.04,1022.65,4.82,cauliflower
19.58,70.84,752.93,990.18,8.05,cauliflower
14.66,74.22,325.63,981.27,4.21,cauliflower
19.46,72.29,290.24,999.97,13.14,cauliflower
21.19,70.24,652.2,980.46,11.22,cauliflower
22.34,64.6,970.35,1005.94,16.8,cauliflower
21.77,62.96,483.52,995.57,9.3,cauliflower
23.65,75.56,509.0,1002.21,26.4,cauliflower
13.2,92.85,435.7,986.24,13.54,cauliflower
23.42,72.95,181.21,982.55,23.13,cauliflower
14.49,91.16,465.34,1028.73,12.53,cauliflower
23.91,86.01,631.98,1022.49,12.03,cauliflower
14.72,76.37,763.35,1011.98,9.53,cauliflower
27.26,94.21,231.29,985.47,22.42,cauliflower
17.14,75.7,621.41,1029.25,26.3,cauliflower
14.61,80.35,788.01,987.51,13.15,cauliflower
16.58,71.86,485.98,998.6,12.21,cauliflower
18.43,49.73,702.94,984.03,25.95,cauliflower
22.73,70.9,661.63,1018.24,4.06,cauliflower
16.51,73.34,447.85,1005.52,13.42,cauliflower
11.07,75.88,628.06,991.97,6.95,cauliflower
14.57,80.25,125.23,1022.99,28.74,cauliflower
26.05,53.91,851.37,1013.2,10.4,cauliflower
14.36,72.06,844.26,1022.22,16.11,cauliflower
12.78,84.27,228.58,1003.32,13.62,cauliflower
18.68,49.31,242.46,1005.05,23.85,cauliflower
23.47,57.6,651.5,1003.11,0.17,cauliflower
19.34,47.87,882.99,1008.18,27.18,cauliflower
11.96,95.9,315.84,1001.8,14.84,cauliflower
21.06,78.49,323.44,1001.72,6.5,cauliflower
25.16,68.66,373.62,1027.84,8.85,cauliflower
25.19,63.04,440.3,1026.27,18.91,cauliflower
25.38,85.1,820.3,1010.08,4.44,cauliflower
19.71,82.61,231.73,1020.31,26.03,cauliflower
27.2,57.16,773.45,1008.46,18.44,cauliflower
16.01,75.37,443.05,1025.93,17.77,cauliflower
27.37,93.37,972.74,992.23,19.5,cauliflower
20.65,61.3,215.56,999.96,29.54,cauliflower
18.51,62.07,220.1,1026.85,12.24,cauliflower
19.1,83.82,989.5,1001.84,23.42,cauliflower
16.6,67.05,668.33,988.45,10.39,cauliflower
20.79,63.0,286.11,1018.81,2.11,cauliflower
24.23,92.27,705.49,1002.08,15.17,cauliflower
25.04,61.98,773.36,994.95,11.36,cauliflower
17.91,92.48,762.1,1006.54,9.05,cauliflower
26.23,59.18,216.45,1007.76,12.0,cauliflower
27.95,76.8,516.1,1023.93,16.7,cauliflower
22.31,80.16,114.12,986.14,17.81,cauliflower
23.68,78.35,638.24,1021.34,14.31,cauliflower
19.94,71.65,589.43,1022.38,26.84,cauliflower
21.55,94.82,246.12,1008.06,0.55,cauliflower
18.34,84.99,299.02,1008.65,18.15,cauliflower
16.01,70.78,582.36,1004.89,2.36,cauliflower
11.22,91.57,940.46,1023.2,23.83,cauliflower
27.69,80.29,263.65,983.24,2.08,cauliflower
11.4,54.63,191.07,1022.49,15.68,cauliflower
14.38,71.75,233.1,992.53,2.46,cauliflower
25.32,85.8,533.36,1025.23,23.51,cauliflower
13.68,51.72,594.73,987.95,22.77,cauliflower
14.81,57.66,725.15,1011.73,0.59,cauliflower
16.62,66.59,651.7,991.25,11.09,cauliflower
11.41,74.85,702.82,992.4,26.66,cauliflower
21.77,77.72,623.46,1010.99,21.44,cauliflower
11.3,76.84,884.9,991.08,25.07,cauliflower
