N,P,K,temperature,humidity,ph,EC,weather_temperature,weather_humidity,light_intensity,air_pressure,rainfall,crop
90,42,43,20.87974371,82.00274423,6.502985292,3.36,20.31,63.72,381.97,997.77,2.64,rice
85,58,41,21.77046169,80.31964408,7.038096361,2.25,15.85,73.57,839.16,989.62,16.79,rice
60,55,44,23.00445915,82.3207629,7.840207144,3.18,27.1,83.84,946.68,1028.62,23.56,rice
74,35,40,26.49109635,80.15836264,6.980400905,2.57,23.2,93.93,660.43,1011.05,8.78,rice
78,42,42,20.13017482,81.60487287,7.628472891,1.7,20.57,66.74,510.01,999.2,24.18,rice
69,37,42,23.05804872,83.37011772,7.073453503,2.05,15.43,47.67,598.07,1012.58,26.92,rice
69,55,38,22.70883798,82.63941394,5.70080568,1.29,26.6,82.78,387.92,998.59,1.33,rice
94,53,40,20.27774362,82.89408619,5.718627178,2.44,12.77,75.09,737.66,980.57,19.17,rice
89,54,38,24.51588066,83.5352163,6.685346424,2.11,21.43,60.88,276.74,1013.58,20.47,rice
68,58,38,23.22397386,83.03322691,6.336253525,1.42,24.84,69.69,356.67,1009.67,24.56,rice
91,53,40,26.52723513,81.41753846,5.386167788,2.98,24.49,55.37,886.79,1024.59,21.92,rice
90,46,42,23.97898217,81.45061596,7.50283396,1.51,18.99,65.13,349.8,1013.33,0.93,rice
78,58,44,26.80079604,80.88684822,5.108681786,3.3,22.72,53.06,251.45,1008.37,5.95,rice
93,56,36,24.01497622,82.05687182,6.98435366,1.43,21.64,48.73,223.44,1029.18,9.11,rice
94,50,37,25.66585205,80.66385045,6.94801983,1.58,24.49,89.37,222.39,994.05,1.06,rice
60,48,39,24.28209415,80.30025587,7.042299069,2.87,12.32,65.92,528.31,1019.76,9.73,rice
85,38,41,21.58711777,82.7883708,6.249050656,2.96,26.22,65.77,802.53,1012.83,1.89,rice
91,35,39,23.79391957,80.41817957,6.970859754,1.54,19.49,80.45,198.62,1029.81,12.73,rice
77,38,36,21.8652524,80.1923008,5.953933276,3.44,16.65,59.22,572.94,997.43,21.35,rice
88,35,40,23.57943626,83.58760316,5.85393208,2.63,20.42,59.61,372.43,1003.22,13.53,rice
89,45,36,21.32504158,80.47476396,6.442475375,1.92,13.43,75.29,894.91,1012.5,6.08,rice
76,40,43,25.15745531,83.11713476,5.070175667,1.58,21.44,57.85,279.08,1001.15,16.2,rice
67,59,41,21.94766735,80.97384195,6.012632591,2.66,21.46,76.02,853.86,1022.92,21.8,rice
83,41,43,21.0525355,82.67839517,6.254028451,2.47,27.72,77.28,847.09,984.23,4.03,rice
98,47,37,23.48381344,81.33265073,7.375482851,2.1,18.6,64.45,880.75,1027.55,8.1,rice
66,53,41,25.0756354,80.52389148,7.778915154,1.81,23.5,83.54,357.87,1013.1,7.84,rice
97,59,43,26.35927159,84.04403589,6.286500176,2.15,19.7,91.8,669.81,1002.07,11.43,rice
97,50,41,24.52922681,80.54498576,7.070959995,3.34,19.24,59.21,766.77,1025.07,7.43,rice
60,49,44,20.77576147,84.49774397,6.244841491,2.69,14.67,72.39,440.73,1026.08,28.8,rice
84,51,35,22.30157427,80.64416466,6.043304899,2.58,11.77,85.12,411.86,1022.06,9.41,rice
73,57,41,21.44653958,84.94375962,5.824709117,2.15,17.79,63.17,569.57,1012.79,25.9,rice
92,35,40,22.17931888,80.33127223,6.357389366,3.13,23.59,58.52,414.5,1001.93,12.77,rice
85,37,39,24.52783742,82.73685569,6.364134968,3.22,13.55,77.69,156.72,1010.36,27.76,rice
98,53,38,20.26707606,81.63895217,5.01450727,3.54,17.57,49.17,600.19,1015.49,6.25,rice
88,54,44,25.7354293,83.88266234,6.149410611,1.24,19.13,64.4,212.27,983.16,25.53,rice
95,55,42,26.79533926,82.1480873,5.950660556,2.46,23.17,47.02,981.94,1013.27,29.42,rice
99,57,35,26.75754171,81.17734011,5.960370061,1.55,19.95,70.64,283.52,997.9,1.81,rice
95,39,36,23.86330467,83.15250801,5.561398642,2.04,12.88,81.69,814.68,982.87,21.4,rice
60,43,44,21.01944696,82.95221726,7.416245107,2.85,20.93,84.53,129.73,1022.69,24.69,rice
63,44,41,24.17298839,83.7287574,5.583370042,1.92,21.77,58.88,776.78,988.17,15.7,rice
62,42,36,22.78133816,82.06719137,6.430010215,2.25,27.28,86.33,509.83,999.41,21.67,rice
64,45,43,25.62980105,83.52842314,5.534878156,3.32,27.75,53.94,615.19,991.54,4.98,rice
83,60,36,25.59704938,80.14509262,6.903985986,1.62,11.43,65,739.47,988.8,23.58,rice
82,40,40,23.83067496,84.81360127,6.271478838,1.21,13.02,74.03,726.83,1029.99,19.94,rice
85,52,45,26.31355498,82.36698992,7.224285503,1.26,26.4,69.03,697.02,985.34,27.39,rice
91,35,38,24.8972823,80.52586088,6.13428721,3.38,23.75,74.42,322.79,1006.71,28.76,rice
76,49,42,24.958779,84.47963372,5.206373153,1.85,21.42,60.98,798.55,1003.65,2.96,rice
74,39,38,23.24113501,84.59201843,7.782051313,2.06,12.78,69.16,990.76,1025.65,10.67,rice
79,43,39,21.66628296,80.70960551,7.062779015,1.68,23.48,94.49,428.95,1009.49,6.33,rice
88,55,45,24.63544858,80.41363018,7.730367824,2.94,20.58,51.08,772.92,1010.45,6.06,rice
60,36,43,23.43121862,83.06310136,5.286203711,2.04,20.63,52.14,182.76,981.71,5.6,rice
76,60,39,20.0454142,80.3477562,6.766240045,1.53,27.47,50.99,158.23,990.26,10.68,rice
93,56,42,23.85724032,82.22572988,7.382762603,2.17,13.86,94.33,923.11,1024.66,21.46,rice
65,60,43,21.97199397,81.89918197,5.658169482,1.43,14.75,67.08,312.21,991.42,13.73,rice
95,52,36,26.22916897,83.83625819,5.543360238,3.58,15.61,75.93,607.82,1029.23,18.79,rice
75,38,39,23.44676801,84.79352417,6.215109715,1.25,19.26,49.07,548.74,1000.87,8.98,rice
74,54,38,25.65553461,83.47021081,7.120272972,1.58,15.98,88.82,939.47,1022.56,4.75,rice
91,36,45,24.44345477,82.45432595,5.950647577,2.72,23.08,47.02,665.02,999.93,16.29,rice
71,46,40,20.2801937,82.1235421,7.236705436,3.14,27.14,85.92,174.44,1025.34,2.11,rice
99,55,35,21.7238313,80.2389895,6.501697816,3.39,15.93,56.8,791.05,981.26,5.44,rice
72,40,38,20.41447029,82.20802629,7.592490617,1.92,19.07,84.8,395.21,990.43,12.41,rice
83,58,45,25.75528612,83.51827127,5.875345751,3.27,23.17,94.97,118.07,1001.5,13.29,rice
93,58,38,20.61521424,83.77345559,6.932400225,3.14,14.04,54.85,810.04,1014.93,22.21,rice
70,36,42,21.84106875,80.72886384,6.946209881,3.27,13.37,69.62,432.34,993.79,27.66,rice
76,47,42,20.08369642,83.29114712,5.739175027,2.03,12.64,70.3,653.86,1000.24,25.21,rice
99,41,36,24.45802087,82.74835604,6.738652179,1.53,23.89,85.73,363.21,1015.72,26.14,rice
99,54,37,21.14347496,80.33502926,5.594819626,1.95,27.67,79.52,816.94,1016.85,0.22,rice
86,59,35,25.78720567,82.11124033,6.946636369,2.19,14.44,72.31,830.74,1024.79,8.96,rice
69,46,41,23.64124821,80.28597873,5.012139669,2.54,21.85,56.41,172.3,1022.41,20.91,rice
91,56,37,23.43191632,80.56887849,6.363472208,1.74,25.45,75.41,730.64,989.67,14.64,rice
61,52,41,24.97669518,83.891805,6.880431223,2.41,15.73,59.02,903.53,982.82,7.69,rice
67,45,38,22.72791041,82.1706881,7.300410836,1.74,24.63,54.53,692.76,983.76,9.92,rice
79,42,37,24.87300744,82.84022551,6.587918708,3.41,26.36,77.82,663.41,994.82,26.48,rice
78,43,42,21.32376327,83.00320459,7.283736617,1.54,14.22,89.87,262.69,984.17,2.51,rice
75,54,36,26.29465461,84.56919326,7.023936392,2.91,23.33,60.12,467.39,1024.69,28.34,rice
97,36,45,22.2286982,81.85872947,6.939083505,2.92,25.37,67.74,648.8,1021.06,19.38,rice
67,47,44,26.73072391,81.78596776,7.868474653,2.09,21.27,91.43,301.97,995.98,13.08,rice
73,35,38,24.88921174,81.97927117,5.005306977,2.87,27.79,75.62,524.69,981.61,11.65,rice
77,36,37,26.88444878,81.46033732,6.136131869,2.52,15.77,76.52,287.25,1013.16,28.56,rice
81,41,38,22.67846116,83.72874389,7.524080076,2.22,23.46,54.79,714.96,995.66,23.24,rice
68,57,43,26.08867875,80.37979919,5.706943251,3.24,12.57,47.52,695.43,1028.05,6.8,rice
72,45,35,25.42977518,82.94682591,5.758506323,1.63,24.16,64.37,188.3,1017.77,28.4,rice
61,53,43,26.40323239,81.05635517,6.349606327,1.75,25.03,60.67,766.48,982.65,9.78,rice
67,43,39,26.04371967,84.96907151,5.999969026,1.7,23,60.38,150.06,1020.82,13.2,rice
67,58,39,25.2827223,80.54372813,5.453592032,2.71,26.68,82.33,328.63,987.53,9.72,rice
66,60,38,22.08576562,83.47038318,6.372576327,2.49,20.98,80.39,319.14,1007.02,6.81,rice
82,43,38,23.28617173,81.43321641,5.105588355,2.72,16,59.79,987.54,981.66,7.84,rice
84,50,44,25.48591986,81.40633547,5.935344406,3.51,25.35,81.64,781.07,981.42,25.47,rice
81,53,42,23.67575393,81.03569343,5.17782304,2.31,18.09,91.28,855.4,1012.45,4.5,rice
91,50,40,20.82477109,84.1341879,6.462391607,2.7,22.34,91.07,236.2,980.8,26.07,rice
93,53,38,26.92995077,81.91411159,7.069172227,3.09,15.45,95.07,394.64,988.64,24.16,rice
90,44,38,23.83509503,83.88387074,7.473134377,3.21,20.4,85.29,281.99,1015.61,17.66,rice
81,45,35,26.52872817,80.12267476,6.158376967,1.85,11.2,59.71,771.56,998.77,20.28,rice
78,40,38,26.46428311,83.85642678,7.549873681,3.25,24.87,78.28,716.06,1016,27.96,rice
60,51,36,22.69657794,82.81088865,6.028321558,1.85,27.09,70.65,442.55,991.58,24.1,rice
88,46,42,22.68319059,83.46358271,6.604993475,3,25.82,64.81,457.15,999.46,26.41,rice
93,47,37,21.53346343,82.14004101,6.500343222,2.73,11.88,51.42,376.17,984.51,3.42,rice
60,55,45,21.40865769,83.3293191,5.935745417,2.14,12.34,52.77,317.62,1022.27,1.32,rice
78,35,44,26.54348085,84.67353597,7.072655622,3.32,11.75,89.4,124.78,996.54,3.96,rice
65,37,40,23.35905428,83.59512273,5.333322606,2.55,22.1,63.07,517.12,1012.17,7.18,rice
71,54,16,22.61359953,63.69070564,5.749914421,1.79,24.09,77.3,245.54,997.3,23.65,maize
61,44,17,26.10018422,71.57476937,6.931756558,3.37,18.57,70.69,356.11,993.02,18.83,maize
80,43,16,23.55882094,71.59351368,6.657964753,3.34,12.71,78.53,510.02,1004.76,3.09,maize
73,58,21,19.97215954,57.68272924,6.596060648,1.41,27.76,83.48,541.2,994.99,3.61,maize
61,38,20,18.47891261,62.69503871,5.970458434,3.26,12.31,51.43,964.62,983.21,29.85,maize
68,41,16,21.77689322,57.80840636,6.158830619,2.2,16.1,64.63,139.07,1025.09,15.51,maize
93,41,17,25.6217169,66.50415474,6.047906679,1.31,25.93,63.44,783.52,980.76,18.94,maize
89,60,19,25.19192419,66.6902901,5.913664501,3.55,22.52,53.53,533.37,994.59,22.79,maize
76,44,17,20.41683147,62.5542482,5.855442401,2.65,18.92,66.46,799.28,983.49,26.12,maize
67,60,25,24.92162194,66.78627406,5.750254943,1.89,22.94,69.28,542.79,988.06,13.4,maize
70,44,19,23.31689124,73.4541537,5.852607099,1.28,11.46,49.18,683.17,1014.09,11.79,maize
90,49,21,24.84016732,68.3584573,6.472523287,2.26,20.86,76.05,226.97,1015.03,9.11,maize
62,52,16,22.27526694,58.84015925,6.967057762,2.56,20.07,67.19,672.37,1003.23,19.65,maize
92,44,16,18.87751445,65.76816093,6.082973754,2.29,17,71.58,784.82,1004.79,22.6,maize
66,54,21,25.19008683,60.2001687,5.919045532,1.95,16.07,73.03,977.47,1011.71,2.32,maize
63,58,22,18.25405352,55.28220433,6.204747653,2.11,26.44,82.15,114.57,989.28,23.46,maize
70,47,17,24.6129118,70.4162444,6.600827017,2.98,11.14,61.22,790.17,1022.6,20.48,maize
61,41,17,25.1420613,65.26185135,6.021902237,3.55,17.22,80.16,281.39,1028.71,9.88,maize
66,53,19,23.09348056,60.1159381,6.033550195,3.48,15.77,88.6,260.79,1020.46,4.51,maize
74,55,19,18.05033737,62.89366992,6.28886807,2.33,14.53,92.35,419.3,1003.17,19.3,maize
77,57,21,24.9321581,73.80435276,6.550563823,1.68,16.32,53.74,923.21,984.27,6.21,maize
99,50,15,18.14710054,71.09445342,5.573286437,3,22.54,76.84,334.86,986.32,14.5,maize
74,56,22,18.28362235,66.65952796,6.829199275,3.07,20.59,69.71,852.19,1018.34,11.71,maize
83,45,21,18.83344471,58.75082029,5.716222912,3.6,15.79,87.7,235.93,1011.73,24.72,maize
100,48,16,25.71895816,67.22190688,5.54990242,2.42,15.04,95.84,192.02,1020.24,0.73,maize
79,51,16,25.33797709,68.49835977,6.586244581,1.61,26.67,83.93,944.22,995.78,26.99,maize
94,39,18,23.89114571,57.48775781,5.893093135,3,23.27,64.9,714.06,992.73,5.15,maize
75,49,15,21.53574127,71.50905983,5.918263801,2.01,18.22,73.74,859.47,991.45,10.12,maize
78,48,22,23.08974909,63.10459626,5.588650585,1.21,26.19,56.23,404.38,983.08,28.4,maize
87,54,20,25.61707368,63.4711755,6.576418207,3.13,18.14,60.65,242.82,1012.81,13.03,maize
87,35,25,21.44526922,63.1621551,6.178056304,1.86,18.13,61.91,702.99,1020.8,1.74,maize
63,43,19,18.51816776,55.53128131,6.641906353,2.05,24.71,60.8,183.52,1007.62,5.64,maize
84,57,25,22.53510514,67.99257471,6.489040367,2.98,11.75,54.04,899.52,995.04,3.96,maize
64,35,23,23.02038334,61.89472002,5.680361038,2.95,18.06,68.05,406.87,1026.16,2.41,maize
60,46,22,24.89364635,65.61418761,6.625404348,1.84,16.01,85.58,509.29,992.64,9.8,maize
98,44,21,25.77175115,74.089114,6.524478032,1.28,16.6,67.91,971.55,1023.01,6.27,maize
75,56,18,19.39851734,62.35750641,5.696205468,3.42,27.3,73.5,150.25,1024.75,4.49,maize
86,55,21,21.54156232,59.64024162,6.803931519,1.28,26.32,78.87,671.91,1015.74,24.92,maize
98,35,18,23.79746068,74.82913698,6.252797548,3.35,17.1,90.85,155.02,998.25,5.76,maize
76,57,18,18.9802729,74.52600826,6.092725883,1.47,11.96,63.65,227.46,996.58,14.17,maize
99,56,17,24.10859207,73.13112261,6.234330356,2.8,20.95,54.79,284.29,989.82,20.87,maize
60,44,23,24.7947077,70.04556743,5.722579819,2.18,27.89,71.16,569.49,1004.15,14.9,maize
74,48,17,21.63162756,60.27766379,6.430616465,3.01,16.75,53.2,261.88,1009.81,11.05,maize
89,60,17,25.37548751,57.21025565,5.983952675,2.13,21.92,55.73,996.68,983.06,15.99,maize
69,51,23,22.21738222,72.85462807,6.80163854,1.25,14.3,84.16,127.75,1004.54,7.58,maize
96,46,22,20.58314011,69.00128641,6.499936446,2.32,13.32,64.5,708.88,1012.27,0.45,maize
61,60,15,24.87502824,68.74248334,6.265564338,3.25,15.53,58.17,634.39,1022.09,8.77,maize
74,58,18,20.03728219,56.35606753,6.727303282,2.02,17.75,75.24,272.75,1020.3,4.6,maize
74,43,23,25.95263264,61.89082199,6.325235159,2.22,14.2,53.16,446.28,995.38,14.5,maize
63,43,17,19.28889933,65.47050802,6.807487794,3.25,27.45,87.92,534.68,980.47,22.92,maize
99,36,20,20.57981887,65.34583901,6.671085817,1.44,25.83,89.18,649.04,988.02,25.09,maize
77,36,23,24.71417533,56.73426469,6.648725327,2.82,16.61,58.36,552.85,1004.44,23.06,maize
87,60,23,20.27317074,63.91281869,6.439071996,2.77,14.35,91.2,469.61,980.75,17.3,maize
60,38,17,18.41932981,64.23580251,6.474476516,2.69,16.31,65.78,978.63,1001.16,15.17,maize
94,54,17,23.39128187,61.74427165,5.871647806,2.26,25.43,81.9,452.05,982.35,1.87,maize
95,38,22,19.84939404,61.24500053,5.730617109,1.63,25.88,81.02,302.9,997,28.19,maize
84,44,21,21.869274,61.91044947,5.850439831,3.59,19,57.37,547.05,987.23,11.52,maize
77,58,19,22.8056033,56.50768935,5.791649933,3.38,18.99,56.95,426.37,1026.62,20.24,maize
66,44,20,19.0781471,69.02298571,6.740000688,1.83,17.39,85.1,555.15,1002.99,9.38,maize
63,35,16,22.02720976,65.35549924,6.272417541,2.31,26.56,72.91,383.64,1012.61,8.26,maize
79,45,20,23.80546189,59.24537979,5.715208817,1.55,15.8,78.19,558.71,1019.04,27.17,maize
72,60,25,18.52510753,69.0276233,5.773454729,2.98,23.77,67.53,225.18,1001.8,12.37,maize
67,51,24,23.50297882,61.32026065,5.584171461,1.25,21.55,71,737.01,1005.87,21.51,maize
86,36,24,26.54986394,72.89187265,5.787268394,1.96,12.96,67.73,288.48,992.3,14.65,maize
76,48,18,19.29563411,69.63481219,5.77597783,2.34,11.04,95.69,512.39,1003.95,23.75,maize
75,53,18,20.68899915,59.4375337,6.864793607,2.79,20.35,52.84,597.88,1003.01,11.94,maize
81,45,23,19.32666088,68.034493,6.192360003,1.78,20.64,85.22,614.7,997.61,29.4,maize
73,45,21,24.60532218,73.58868502,6.636803223,3.3,22.16,70.83,789.46,985.57,13.34,maize
71,35,24,22.27373646,59.52193158,5.826426917,2.38,27.73,72.53,554.19,982.25,4.82,maize
96,54,22,25.70196694,61.33450447,6.960358276,1.78,24.44,58.73,432.03,1018.92,18.59,maize
99,39,18,19.20129357,68.30578978,6.11275104,2.09,14.02,88.17,369.09,1027.87,15.05,maize
62,48,20,21.70181447,60.47470519,6.708446922,2,12,69.24,541.98,1015.6,1.41,maize
86,37,16,20.51716779,59.21235483,5.561510732,3.48,14.56,94.2,281.77,999.53,17.28,maize
94,50,19,23.30355338,73.62548442,5.873242491,3.11,13.23,72.95,796.14,988.56,6.44,maize
76,39,24,24.2547451,55.64709899,6.995843776,2.11,13.91,84.88,258.89,1018.29,26.5,maize
77,52,17,24.86374934,65.7420046,5.714799723,1.79,12.18,76.76,267.15,1014.78,29.51,maize
74,39,23,22.6265115,65.77472881,6.78073637,1.76,15.55,50.2,747.71,1029.87,17.32,maize
81,49,20,18.04185513,60.61494304,5.513697923,2.71,24.65,71.18,498.18,1010.11,1.76,maize
63,42,21,23.26237612,72.33125523,5.798423908,2.35,12.45,74.38,452.57,989.33,24.72,maize
99,38,21,22.88330922,71.59722446,6.352471866,3.37,19.26,83.73,379.2,1010.85,3.63,maize
90,52,25,25.97482359,69.36385721,6.822586546,3.59,15.47,91.6,881.57,998.25,28.43,maize
68,40,19,26.14384005,66.20569924,6.655426355,2.03,22.26,62.22,515.09,1014.15,11.67,maize
60,57,24,18.66116213,61.55327249,6.121294041,3.45,20.69,54.98,602.79,1008.83,26.8,maize
71,52,18,25.10787449,55.97732754,5.790770203,1.57,25.16,81.36,510.02,993.41,4.17,maize
61,59,17,23.33844615,59.24580604,6.47444292,3.02,27.03,61.33,912.32,1024.93,16.04,maize
88,38,15,25.08239719,65.92195844,6.455116637,2.86,18.61,89.14,862.11,1000.06,4.71,maize
65,60,22,25.36768364,72.52054555,6.606984086,3.12,24.65,86.74,734.33,1007.82,19.28,maize
78,37,22,25.34217103,63.31801994,6.330554389,2.38,14.52,55.31,449.36,993.36,19.25,maize
78,58,15,25.00933355,67.816568,6.528631266,3.46,14.07,89.98,144.79,1028.92,2.97,maize
92,60,23,18.66746724,71.516474,5.721667141,1.58,27.35,82.68,314.97,1013.37,2.92,maize
79,59,17,20.37999665,63.73849998,6.644205485,3.57,20.2,77.57,979,1014.94,2.15,maize
91,55,15,18.09300227,72.61024172,6.376651091,2.79,20.83,76.75,335.09,983.97,14,maize
76,51,18,26.16985907,71.96246617,6.247040422,2.9,22.15,57.63,953.11,1006.71,28.16,maize
87,48,25,18.65396672,61.37879671,6.656730008,2.4,14.64,81.8,650.91,1008.75,10.82,maize
71,60,22,26.07470121,59.37147589,6.2048017,2.7,11.2,77.14,925.34,1019.96,9.43,maize
90,57,24,18.92851916,72.80086137,6.158860284,1.31,12.3,73.89,325.93,983.38,1.87,maize
67,35,22,23.30546753,63.24648023,6.385684214,2.64,24.94,74.63,843.67,1007.9,10.81,maize
60,54,19,18.74826712,62.49878458,6.417820493,1.55,20.32,54.42,452.42,1008.31,28.67,maize
83,58,23,19.74213321,59.66263104,6.381201909,2.18,23.28,80.6,755.42,1015.46,6.1,maize
83,57,19,25.73044432,70.74739256,6.877869005,3.04,23.4,94.3,940.74,1009.28,21.27,maize
40,72,77,17.02498456,16.98861173,7.485996067,1.89,15.23,77.37,964.06,999.27,11.72,chickpea
23,72,84,19.02061277,17.13159126,6.920251378,1.5,24.51,89.96,821.99,1009.6,29.01,chickpea
39,58,85,17.88776475,15.40589717,5.996932037,1.55,24.93,86.6,208.41,1016.01,29.61,chickpea
22,72,85,18.86805647,15.65809214,6.391173589,3.33,24.15,62.42,144.08,987.83,3.62,chickpea
36,67,77,18.36952567,19.56381041,7.152811172,3.1,13.13,64.72,547.8,1027.19,17.37,chickpea
32,73,81,20.45078582,15.40312102,5.988992796,2.84,12.7,48.77,918.52,1024.78,23.2,chickpea
58,70,84,20.6543203,16.60820843,6.231049028,2.65,21.2,88.21,704.68,1002.31,20.52,chickpea
59,70,84,17.3348681,18.74926979,7.550808267,3.08,25.25,76.33,855.13,1023.59,27.31,chickpea
42,62,75,18.17912258,18.90426935,7.010570541,3.08,26.12,69.26,831.1,980.11,23.42,chickpea
28,74,81,18.01272266,18.30968112,8.753795334,2.14,16.84,47.07,148.06,989.1,21.34,chickpea
58,66,79,20.99373558,19.33470387,8.718192847,2.36,18.02,68.59,487.64,1029.64,15.82,chickpea
43,66,79,19.46233971,15.22538951,7.976607593,2.67,14.41,80.22,361.95,989.65,3.46,chickpea
58,63,81,19.81344531,14.69765308,6.515499549,1.38,18.64,77.98,468.87,988.04,25.15,chickpea
23,62,85,18.97424756,19.5161216,8.490127142,1.57,26.7,51.96,276.53,1008.2,13.37,chickpea
27,62,77,18.19737048,14.71070537,6.576415562,2.2,12.1,67.31,378.34,996.95,19.44,chickpea
28,72,84,18.72963144,19.18197264,6.481783043,2.18,15.63,90.04,426.04,1009.61,12.07,chickpea
